name,branch_name,category,rating_numeric,total_reviews,total_reviews_int,address,phone,website,maps_url,overview,about,city,source
Rowad Electronics,,Electronics store,4.6,,,"Anas Ibn Malik Rd, Alyasmin, Riyadh 14813, Saudi Arabia",+966556815220,https://rowadshop.com,https://www.google.com/maps/place/Rowad+Electronics,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
الرواد للإلكترونيات | Rowad Electronics,,Electronics store,4.7,,,"Dammam Rd, Qurtubah, Riyadh 13245, Saudi Arabia",+966557955220,https://rowadshop.com,https://www.google.com/maps/place/%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D8%AF+%D9%84%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A7%D8%AA+%7C+Rowad+Electronics%E2%80%AD,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
الرواد للإلكترونيات | Rowad Electronics,,Electronics store,4.7,,,"Northern Ring Rd, Al Wadi, 3016, الرياض 13313, المملكة العربية السعودية 6178, Riyadh 13313, Saudi Arabia",+966536895220,https://rowadshop.com,https://www.google.com/maps/place/%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D8%AF+%D9%84%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A7%D8%AA+%7C+Rowad+Electronics%E2%80%AD,,"General: See photos, 4.7, Electronics store, Northern Ring Rd, Al Wadi, 3016، الرياض 13313، المملكة العربية السعودية 6178, Riyadh 13313, Saudi Arabia, Closed, · Opens 9 AM Wed, Updated by this business 11 weeks ago, Wednesday, 9 AM–11 PM, Suggest new hours, rowadshop.com, +966 53 689 5220, QMHQ+G9 Al Wadi, Riyadh Saudi Arabia, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Wednesday 9 AM–11 PM Suggest new hours",Electronics store Riyadh makkah,google_maps
eXtra,,Electronics store,3.9,,,"Exit 16, Eastern Ring Rd, Al Faruq, Riyadh 12863, Saudi Arabia",+9668001240900,https://extra.com/ar-sa,https://www.google.com/maps/place/eXtra,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
Sharaf DG Riyadh Gallery,,Electronics store,4.7,,,"District, Riyadh Gallery Mall, King Abdullah Road, King Fahad Branch Road, King Fahd, Riyadh 12262, Saudi Arabia",+9668001240467,https://saudi.sharafdg.com,https://www.google.com/maps/place/Sharaf+DG+Riyadh+Gallery,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
كاميرات مراقبة وأنظمة أمنية,,Electronics store,4.7,,,"Al Malaz, Riyadh 12628, Saudi Arabia",+966510252532,,https://www.google.com/maps/place/%D9%83%D8%A7%D9%85%D9%8A%D8%B1%D8%A7%D8%AA+%D9%85%D8%B1%D8%A7%D9%82%D8%A8%D8%A9+%D9%88%D8%A3%D9%86%D8%B8%D9%85%D8%A9+%D8%A3%D9%85%D9%86%D9%8A%D8%A9%E2%80%AD,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
Sheta & Saif Electronics,,Electronics store,4.0,,,"Anas Ibn Malik Rd, Alyasmin, Riyadh 13325, Saudi Arabia",+966920000066,https://swsg.co,https://www.google.com/maps/place/Sheta+%26+Saif+Electronics,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
AEG شركة عالية التجارية لأجهزة المطابخ,,Refrigerator store,4.2,,,"2853 Makkah Al Mukarramah Br Rd, Al Olaya, Riyadh 12611, Saudi Arabia",+966114645977,https://aliatrading.sa,https://www.google.com/maps/place/AEG+%D8%B4%D8%B1%D9%83%D8%A9+%D8%B9%D8%A7%D9%84%D9%8A%D8%A9+%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9+%D9%84%D8%A3%D8%AC%D9%87%D8%B2%D8%A9+%D8%A7%D9%84%D9%85%D8%B7%D8%A7%D8%A8%D8%AE%E2%80%AD,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
eXtra,,Electronics store,3.7,,,"Al Mashtal, طريق الثمامة, Riyadh Saudi Arabia",+966920004123,https://extra.com/ar-sa,https://www.google.com/maps/place/eXtra,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
Eddy Home & Electronics,,Electronics store,3.5,,,"5178 King Faisal Rd, Jabal An Nur, Makkah 24238, Saudi Arabia",+966920033299,https://eddy.com.sa,https://www.google.com/maps/place/Eddy+Home+%26+Electronics,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
صيانة عبداللطيف جميل للأجهزة الألكترونية,,Electronics store,3.8,,,"امام سعود, Al Muruj, Riyadh 12263, Saudi Arabia",+966920005468,https://redsea.com/ar/service-centers,https://www.google.com/maps/place/%D8%B5%D9%8A%D8%A7%D9%86%D8%A9+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D8%B7%D9%8A%D9%81+%D8%AC%D9%85%D9%8A%D9%84+%D9%84%D9%84%D8%A3%D8%AC%D9%87%D8%B2%D8%A9+%D8%A7%D9%84%D8%A3%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9%E2%80%AD,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
Qasr Alawani,,Kitchen supply store,3.7,,,"حي, Makkah Al Mukarramah Rd, Al Maather, Riyadh 12721, Saudi Arabia",+966534005519,https://qasralawani.com,https://www.google.com/maps/place/Qasr+Alawani,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
